measure,county,report_date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths,antigen_cases,probable_deaths,antigen_cases_cum,probable_deaths_cum,total_cases,total_cases_cum,moving_avg_antigen_cases,moving_avg_probable_deaths,moving_avg_total_cases
state_total,Georgia,2020-09-20,1093,3,302846,6544,1657.71428571428,37.1428571428571,43,1,16665,226,1136,319511,262.857142857142,1.85714285714285,1920.57142857142
state_total,Georgia,2020-09-21,1165,3,304011,6547,1678.57142857142,35.1428571428571,210,1,16875,227,1375,320886,244,1.28571428571428,1922.57142857142
state_total,Georgia,2020-09-22,1002,70,305013,6617,1604.28571428571,38.7142857142857,201,0,17076,227,1203,322089,230,1.14285714285714,1834.28571428571
state_total,Georgia,2020-09-23,1513,94,306526,6711,1512.57142857142,48.8571428571428,156,11,17232,238,1669,323758,183.285714285714,2.14285714285714,1695.85714285714
state_total,Georgia,2020-09-24,1383,51,307909,6762,1450.85714285714,48.7142857142857,202,11,17434,249,1585,325343,178.714285714285,3.71428571428571,1629.57142857142
state_total,Georgia,2020-09-25,1504,52,309413,6814,1406.14285714285,47.4285714285714,476,7,17910,256,1980,327323,195.142857142857,4.42857142857142,1601.28571428571
state_total,Georgia,2020-09-26,1336,42,310749,6856,1285.14285714285,45,90,0,18000,256,1426,328749,196.857142857142,4.42857142857142,1482
state_total,Georgia,2020-09-27,802,30,311551,6886,1243.57142857142,48.8571428571428,56,21,18056,277,858,329607,198.714285714285,7.28571428571428,1442.28571428571
state_total,Georgia,2020-09-28,606,15,312157,6901,1163.71428571428,50.5714285714285,341,2,18397,279,947,330554,217.428571428571,7.42857142857143,1381.14285714285
state_total,Georgia,2020-09-29,1037,32,313194,6933,1168.71428571428,45.1428571428571,319,2,18716,281,1356,331910,234.285714285714,7.71428571428571,1403
state_total,Georgia,2020-09-30,1666,29,314860,6962,1190.57142857142,35.8571428571428,222,1,18938,282,1888,333798,243.714285714285,6.28571428571428,1434.28571428571
state_total,Georgia,2020-10-01,1311,40,316171,7002,1180.28571428571,34.2857142857142,254,1,19192,283,1565,335363,251.142857142857,4.85714285714285,1431.42857142857
state_total,Georgia,2020-10-02,1269,43,317440,7045,1146.71428571428,33,224,2,19416,285,1493,336856,215.142857142857,4.14285714285714,1361.85714285714
state_total,Georgia,2020-10-03,1440,25,318880,7070,1161.57142857142,30.5714285714285,78,3,19494,288,1518,338374,213.428571428571,4.57142857142857,1375
state_total,Georgia,2020-10-04,860,28,319740,7098,1169.85714285714,30.2857142857142,68,0,19562,288,928,339302,215.142857142857,1.57142857142857,1385
state_total,Georgia,2020-10-05,789,29,320529,7127,1196,32.2857142857142,317,3,19879,291,1106,340408,211.714285714285,1.71428571428571,1407.71428571428
state_total,Georgia,2020-10-06,947,36,321476,7163,1183.14285714285,32.8571428571428,1006,4,20885,295,1953,342361,309.857142857142,2,1493
state_total,Georgia,2020-10-07,1464,28,322940,7191,1154.28571428571,32.7142857142857,312,1,21197,296,1776,344137,322.714285714285,2,1477
state_total,Georgia,2020-10-08,1255,35,324195,7226,1146.28571428571,32,550,31,21747,327,1805,345942,365,6.28571428571428,1511.28571428571
state_total,Georgia,2020-10-09,1630,54,325825,7280,1197.85714285714,33.5714285714285,343,37,22090,364,1973,347915,382,11.2857142857142,1579.85714285714
state_total,Georgia,2020-10-10,1247,45,327072,7325,1170.28571428571,36.4285714285714,76,0,22166,364,1323,349238,381.714285714285,10.8571428571428,1552
state_total,Georgia,2020-10-11,1132,23,328204,7348,1209.14285714285,35.7142857142857,69,0,22235,364,1201,350439,381.857142857142,10.8571428571428,1591
state_total,Georgia,2020-10-12,922,14,329126,7362,1228.14285714285,33.5714285714285,249,1,22484,365,1171,351610,372.142857142857,10.5714285714285,1600.28571428571
state_total,Georgia,2020-10-13,1005,25,330131,7387,1236.42857142857,32,300,0,22784,365,1305,352915,271.285714285714,10,1507.71428571428
state_total,Georgia,2020-10-14,1266,18,331397,7405,1208.14285714285,30.5714285714285,277,1,23061,366,1543,354458,266.285714285714,10,1474.42857142857
state_total,Georgia,2020-10-15,1639,23,333036,7428,1263,28.8571428571428,203,1,23264,367,1842,356300,216.714285714285,5.71428571428571,1479.71428571428
state_total,Georgia,2020-10-16,1653,64,334689,7492,1266.28571428571,30.2857142857142,317,1,23581,368,1970,358270,213,0.57142857142857,1479.28571428571
state_total,Georgia,2020-10-17,1505,48,336194,7540,1303.14285714285,30.7142857142857,444,0,24025,368,1949,360219,265.571428571428,0.57142857142857,1568.71428571428
state_total,Georgia,2020-10-18,1157,31,337351,7571,1306.71428571428,31.8571428571428,81,1,24106,369,1238,361457,267.285714285714,0.71428571428571,1574
state_total,Georgia,2020-10-19,756,17,338107,7588,1283,32.2857142857142,364,1,24470,370,1120,362577,283.714285714285,0.71428571428571,1566.71428571428
